"resource_id","title","path","human_annotations","course_code"
242,"Merge Sort Motivation and Example min","algo/subtitles/003_1 - 3 - Merge Sort_ Motivation and Example (9 min).srt","[\"Merge_sort\", \"Sorting_algorithm\"]","algo"
245,"Guiding Principles for Analysis of Algorithms min","algo/subtitles/006_1 - 6 - Guiding Principles for Analysis of Algorithms (15 min).srt","[\"Analysis_of_algorithms\", \"Computational_complexity\", \"Worst-case_complexity\", \"Average-case_complexity\"]","algo"
247,"Basic Examples min","algo/subtitles/008_2 - 2 - Basic Examples (7 min).srt","[\"Big_O_notation\", \"Asymptotic_computational_complexity\"]","algo"
252,"Strassen's Subcubic Matrix Multiplication Algorithm min","algo/subtitles/013_3 - 3 - Strassen's Subcubic Matrix Multiplication Algorithm (22 min).srt","[\"Strassen_algorithm\", \"Matrix_multiplication_algorithm\", \"Divide_and_conquer_algorithms\", \"Recursion\"]","algo"
258,"Proof I min","algo/subtitles/019_4 - 4 - Proof I (10 min).srt","[\"Master_theorem\"]","algo"
261,"Quicksort Overview min","algo/subtitles/022_5 - 1 - Quicksort_ Overview (12 min).srt","[\"Quicksort\"]","algo"
268,"Part I Review Optional min","algo/subtitles/029_7 - 1 - Part I [Review - Optional] (25 min).srt","[\"Probability\", \"Expected_value\", \"Random_variable\"]","algo"
269,"Part II Review Optional min","algo/subtitles/030_7 - 2 - Part II [Review - Optional] (17 min).srt","[\"Conditional_probability\", \"Independence_(probability_theory)\"]","algo"
270,"Randomized Selection Algorithm min","algo/subtitles/031_8 - 1 - Randomized Selection - Algorithm (22 min).srt","[\"Selection_algorithm\", \"Randomized_algorithm\"]","algo"
277,"Graph Representations min","algo/subtitles/038_9 - 2 - Graph Representations (14 min).srt","[\"Adjacency_list\", \"Adjacency_matrix\", \"Graph_(abstract_data_type)\"]","algo"
278,"Random Contraction Algorithm min","algo/subtitles/039_9 - 3 - Random Contraction Algorithm (9 min).srt","[\"Karger's_algorithm\", \"Minimum_cut\"]","algo"
281,"Graph Search Overview min","algo/subtitles/042_10 - 1 - Graph Search - Overview (23 min).srt","[\"Graph_traversal\"]","algo"
282,"Breadth First Search BFS The Basics min","algo/subtitles/043_10 - 2 - Breadth-First Search (BFS)_ The Basics (14 min).srt","[\"Breadth-first_search\"]","algo"
285,"Depth First Search DFS The Basics min","algo/subtitles/046_10 - 5 - Depth-First Search (DFS)_ The Basics (7 min).srt","[\"Depth-first_search\"]","algo"
286,"Topological Sort min","algo/subtitles/047_10 - 6 - Topological Sort (22 min).srt","[\"Topological_sorting\"]","algo"
289,"Structure of the Web Optional min","algo/subtitles/050_10 - 9 - Structure of the Web [Optional] (19 min).srt","[\"Webgraph\"]","algo"
290,"Dijkstra's Shortest Path Algorithm min","algo/subtitles/051_11 - 1 - Dijkstra's Shortest-Path Algorithm (21 min).srt","[\"Dijkstra's_algorithm\"]","algo"
294,"Data Structures Overview min","algo/subtitles/055_12 - 1 - Data Structures_ Overview (5 min).srt","[\"Data_structure\", \"Stack_(abstract_data_type)\", \"Queue_(abstract_data_type)\"]","algo"
295,"Heaps Operations and Applications min","algo/subtitles/056_12 - 2 - Heaps_ Operations and Applications (18 min).srt","[\"Heap_(data_structure)\"]","algo"
297,"Balanced Search Trees Operations and Applications min","algo/subtitles/058_16 - 1 - Balanced Search Trees_ Operations and Applications (11 min).srt","[\"Binary_search_tree\"]","algo"
300,"Red Black Trees min","algo/subtitles/061_16 - 4 - Red-Black Trees (21 min).srt","[\"Red–black_tree\", \"Self-balancing_binary_search_tree\"]","algo"
303,"Bloom Filters Heuristic Analysis min","algo/subtitles/072_15 - 2 - Bloom Filters_ Heuristic Analysis (13 min).srt","[\"Bloom_filter\"]","algo"
1971,"Part II Pioneering Experiments","eqp/02_Week_1_-_Lecture_1-_Wavefunctions_and_Schrdinger_Equation/02_Part_II-_Pioneering_Experiments_10-42.txt","[\"Theory_of_everything\", \"Photoelectric_effect\", \"Photon\"]","eqp"
